Name,,Price,PV
Basil 15 mL (60222456),,3109.3,33
,,,
Bergamot 15 mL (60220396),,3717,42
,,,
Cedarwood 15 mL (60219585),,1333.4,15
,,,
Cinnamon 5 mL (60220394),,2702.2,30
,,,
Clove 15 mL (60220395),,1640.2,19
,,,
Copaiba 15 mL (60219316),,3593.1,41
,,,
Copaiba 5 mL (60220402),,1439.6,16
Coriander 15 mL (60222442),,2566.5,28
Cypress 15 mL (60222433),,1858.5,20
Fennel 15 mL (60222435),,1699.2,19
Frankincense 15 mL (60219522),,6979.7,75
Frankincense 5 mL (60219328),,3138.8,34
Frankincense Touch 10 mL (60220401),,4672.8,54
Geranium 15 mL (60222457),,4425,47
Ginger 15 mL (60220393),,4513.5,52
Grapefruit 15 mL (60219519),,1846.7,21
Helichrysum 5 mL (60219632),,7699.5,78
Juniper Berry 5 mL (60222432),,2059.1,22
Lavender 15 mL (60219318),,2360,27
Lavender 5 mL (60219322),,1067.9,12
Lavender Touch 10 mL (60220399),,1539.9,18
Lemon 15 mL (60219317),,1233.1,13
Lemongrass 15 mL (60219517),,1097.4,12
Lemon Eucalyptus 15 mL (60222874),,1451.4,16
Lime 15 mL (60219583),,1333.4,15
Marjoram 15 mL (60222446),,2265.6,25
Myrrh 15 mL (60222439),,7003.3,58
Oregano 5 mL (60219266),,1038.4,12
Oregano 15 mL (60219521),,2259.7,26
Patchouli 15 mL (60222443),,3085.7,35
Peppermint 15 mL (60219319),,2259.7,26
Peppermint 5 mL (60219324),,1050.2,12
Peppermint Touch 10 mL (60222448,,1646.1,18
Petitgrain 15 mL (60222441),,2566.5,28
Roman Chamomile 5 mL (60219597),,4619.7,53
Rosemary 15 mL (60219550),,1640.2,19
Sandalwood 5 mL (60222437),,8212.8,64
Siberian Fir 15 mL (60222436),,2059.1,23
Spearmint 15 mL (60220338),,2873.3,32
Tangerine 15 mL (60222449),,1551.7,17
Tea Tree 15 mL (60219520),,2153.5,25
Tea Tree 5 mL (60219332),,967.6,11
Tea Tree Touch 10 mL (60222451),,1498.6,16
Thyme 15 mL (60222444),,3233.2,35
Tulsi (Holy Basil) 5 mL (60224793),,2548.8,27
,,,
Turmeric 15 mL (60219582),,2873.3,32
,,,
Vetiver 15 mL (60222445),,6059.3,59
,,,
Wild Orange 15 mL (60219523),,1014.8,11
,,,
Wintergreen 15 mL (60222447),,2566.5,27
,,,
